joint,type,n_motors,drives,gear_ratio_N,torque_constant_Kt,current_limit_continuous_A,current_limit_peak_A,peak_duration_s,eta_used,tau_max_continuous_Nm_eta1,tau_max_peak_Nm_eta1,eta_calibrated,tau_max_peak_Nm_eta_calibrated,notes
L_CROTCH_Y,solo,1,LCrotchY,159.0907,0.116,0.71,2.05,12.91,1.0,13.10,37.83,,,"eta=1 upper bound (Kt not measured, only sourced -- see drive_gains_map.csv)."
L_KNEE_P,solo,1,LKneeP,210.0,0.424,1.03,2.03,23.53,1.0,91.71,180.75,,,"eta=1 upper bound (Kt not measured, only sourced -- see drive_gains_map.csv)."
L_SHOULDER_P,solo,1,LShoulderP,200.0,0.246,0.88,1.68,24.63,1.0,43.30,82.66,,,"eta=1 upper bound (Kt not measured, only sourced -- see drive_gains_map.csv)."
R_CROTCH_Y,solo,1,RCrotchY,159.0907,0.116,0.71,2.05,12.91,1.0,13.10,37.83,,,"eta=1 upper bound (Kt not measured, only sourced -- see drive_gains_map.csv)."
R_KNEE_P,solo,1,RKneeP,210.0,0.424,1.03,2.03,23.53,1.0,91.71,180.75,,,"eta=1 upper bound (Kt not measured, only sourced -- see drive_gains_map.csv)."
R_SHOULDER_P,solo,1,RShoulderP,199.9998,0.246,0.88,1.68,24.63,1.0,43.30,82.66,,,"eta=1 upper bound (Kt not measured, only sourced -- see drive_gains_map.csv)."
CHEST_P,differential_pair_sum,2,ChestYPL + ChestYPR,160.0,0.246,,,13.58,1.0,69.27,201.52,,,"Sum of 2 channels, worst case (simultaneous same-direction saturation). eta=1 upper bound."
CHEST_Y,differential_pair_sum,2,ChestYPL + ChestYPR,160.0,0.246,,,13.58,1.0,69.27,201.52,,,"Sum of 2 channels, worst case (simultaneous same-direction saturation). eta=1 upper bound."
HEAD_P,differential_pair_sum,2,HeadYPL + HeadYPR,70.8332,,,,8.0,1.0,14.01,18.36,,,"Sum of 2 channels, worst case (simultaneous same-direction saturation). eta=1 upper bound."
HEAD_Y,differential_pair_sum,2,HeadYPL + HeadYPR,70.8332,,,,8.0,1.0,14.01,18.36,,,"Sum of 2 channels, worst case (simultaneous same-direction saturation). eta=1 upper bound."
L_ELBOW_P,differential_pair_sum,2,LElbowPYI + LElbowPYO,200.0001,,,,8.0,1.0,39.57,77.68,,,"Sum of 2 channels, worst case (simultaneous same-direction saturation). eta=1 upper bound."
L_ELBOW_Y,differential_pair_sum,2,LElbowPYI + LElbowPYO,200.0001,,,,8.0,1.0,39.57,77.68,,,"Sum of 2 channels, worst case (simultaneous same-direction saturation). eta=1 upper bound."
L_SHOULDER_R,differential_pair_sum,2,LShoulderRYF + LShoulderRYB,166.6667,,,,8.0,1.0,47.73,110.22,,,"Sum of 2 channels, worst case (simultaneous same-direction saturation). eta=1 upper bound."
L_SHOULDER_Y,differential_pair_sum,2,LShoulderRYF + LShoulderRYB,166.6667,,,,8.0,1.0,47.73,110.22,,,"Sum of 2 channels, worst case (simultaneous same-direction saturation). eta=1 upper bound."
L_WRIST_P,differential_pair_sum,2,LWristPYI + LWristPYO,150.0003,,,,8.0,1.0,29.68,58.26,,,"Sum of 2 channels, worst case (simultaneous same-direction saturation). eta=1 upper bound."
L_WRIST_Y,differential_pair_sum,2,LWristPYI + LWristPYO,150.0003,,,,8.0,1.0,29.68,58.26,,,"Sum of 2 channels, worst case (simultaneous same-direction saturation). eta=1 upper bound."
R_ELBOW_P,differential_pair_sum,2,RElbowPYI + RElbowPYO,200.0001,,,,8.0,1.0,39.57,77.68,,,"Sum of 2 channels, worst case (simultaneous same-direction saturation). eta=1 upper bound."
R_ELBOW_Y,differential_pair_sum,2,RElbowPYI + RElbowPYO,200.0001,,,,8.0,1.0,39.57,77.68,,,"Sum of 2 channels, worst case (simultaneous same-direction saturation). eta=1 upper bound."
R_SHOULDER_R,differential_pair_sum,2,RShoulderRYF + RShoulderRYB,166.6667,,,,8.0,1.0,47.73,110.22,,,"Sum of 2 channels, worst case (simultaneous same-direction saturation). eta=1 upper bound."
R_SHOULDER_Y,differential_pair_sum,2,RShoulderRYF + RShoulderRYB,166.6667,,,,8.0,1.0,47.73,110.22,,,"Sum of 2 channels, worst case (simultaneous same-direction saturation). eta=1 upper bound."
R_WRIST_P,differential_pair_sum,2,RWristPYI + RWristPYO,150.0,,,,8.0,1.0,29.68,58.26,,,"Sum of 2 channels, worst case (simultaneous same-direction saturation). eta=1 upper bound."
R_WRIST_Y,differential_pair_sum,2,RWristPYI + RWristPYO,150.0,,,,8.0,1.0,29.68,58.26,,,"Sum of 2 channels, worst case (simultaneous same-direction saturation). eta=1 upper bound."
